date,entry_time,dollar_pnl,win,rolling_wr_k,rolling_wr,cls_h50_l35,exit_reason
2026-03-26,09:40,-1478.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-03-26,10:05,668.63,1,15,0.3333,LOW,TP1_THEN_RUNNER_TARGET
2026-03-27,09:50,121.1,1,15,0.3333,LOW,TP1_THEN_RUNNER_BE_STOP
2026-03-30,13:15,1873.4,1,15,0.4,MID,TP1_THEN_RUNNER_TIME
2026-04-07,10:00,574.2,1,15,0.4,MID,TP1_THEN_RUNNER_RIBBON
2026-04-08,11:30,-151.8,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2026-04-08,14:10,-210.4,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2026-04-09,11:00,-327.6,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2026-04-10,09:45,-209.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-10,11:45,-229.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-10,13:05,-1056.0,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-13,09:35,-206.28,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-13,10:05,-702.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-17,14:50,133.2,1,15,0.2667,LOW,TP1_THEN_RUNNER_RIBBON
2026-04-20,11:10,-1289.2,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-21,12:55,392.4,1,15,0.3333,LOW,TP1_THEN_RUNNER_RIBBON
2026-04-22,11:25,-220.0,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2026-04-22,12:35,-211.2,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-22,14:05,-188.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-23,13:10,1142.4,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2026-04-23,15:40,-450.0,0,15,0.2,LOW,EXIT_ALL_TIME_STOP
2026-04-24,10:25,33.0,1,15,0.2,LOW,EXIT_ALL_RIBBON_FLIP_BACK
2026-04-27,09:40,-236.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-27,13:30,360.0,1,15,0.2667,LOW,EXIT_ALL_TIME_STOP
2026-04-28,09:55,-870.0,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-29,12:30,-1478.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-04-29,14:10,-999.0,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-05-04,11:20,804.0,1,15,0.3333,LOW,TP1_THEN_RUNNER_RIBBON
2026-05-07,12:50,168.0,1,15,0.4,MID,TP1_THEN_RUNNER_RIBBON
2026-05-08,09:50,1129.8,1,15,0.4,MID,TP1_THEN_RUNNER_RIBBON
2026-05-13,09:45,-219.2,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2026-05-13,10:55,2044.0,1,15,0.4,MID,TP1_THEN_RUNNER_TIME
2026-05-15,10:00,-1315.6,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2026-05-18,10:00,190.2,1,15,0.4667,MID,TP1_THEN_RUNNER_RIBBON
2026-05-18,11:05,486.0,1,15,0.5333,HIGH,TP1_THEN_RUNNER_RIBBON
2026-05-18,14:05,714.0,1,15,0.5333,HIGH,TP1_THEN_RUNNER_RIBBON
2026-05-19,10:05,2072.0,1,15,0.6,HIGH,TP1_THEN_RUNNER_RIBBON
2026-05-19,14:00,-176.0,0,15,0.6,HIGH,EXIT_ALL_PREMIUM_STOP
2026-05-20,11:20,-264.8,0,15,0.6,HIGH,EXIT_ALL_PREMIUM_STOP
2026-05-20,12:45,-232.0,0,15,0.5333,HIGH,EXIT_ALL_PREMIUM_STOP
2026-05-20,14:05,-225.6,0,15,0.5333,HIGH,EXIT_ALL_PREMIUM_STOP
2026-05-21,10:25,-1438.8,0,15,0.5333,HIGH,EXIT_ALL_PREMIUM_STOP
2026-05-21,11:35,-849.0,0,15,0.5333,HIGH,EXIT_ALL_PREMIUM_STOP
2026-05-21,13:25,744.0,1,15,0.4667,MID,TP1_THEN_RUNNER_RIBBON
