date,symbol,underlier,is_spx_family,bias,right,strike,expiry,is_0dte,qty,entry_time,exit_time,hold_min,entry_px,exit_px,pnl,result,status,n_entry_fills
2021-11-15,XEL211217C00070000,XEL,False,bull,C,70.0,2021-12-17,False,5,2021-11-15 13:12:09,2021-12-08 13:57:30,33165.3,0.15,0.05,-50.0,LOSS,closed,1
2021-11-15,LCID211119P00040000,LCID,False,bear,P,40.0,2021-11-19,False,1,2021-11-15 13:36:48,2021-11-16 11:47:24,1330.6,1.23,0.11,-112.0,LOSS,closed,1
2021-11-15,AMC211119C00045000,AMC,False,bull,C,45.0,2021-11-19,False,1,2021-11-15 14:27:31,2021-11-16 13:09:05,1361.6,1.15,1.19,4.0,WIN,closed,1
2021-11-15,AAPL211119C00152500,AAPL,False,bull,C,152.5,2021-11-19,False,1,2021-11-15 15:32:37,2021-11-16 12:56:47,1284.2,0.52,0.59,7.0,WIN,closed,1
2021-11-15,MARA211217C00100000,MARA,False,bull,C,100.0,2021-12-17,False,1,2021-11-15 15:41:19,2021-12-10 10:28:34,35687.2,2.57,0.01,-256.0,LOSS,closed,1
2021-11-15,PINS211119C00050000,PINS,False,bull,C,50.0,2021-11-19,False,2,2021-11-15 15:43:35,2021-11-16 09:46:34,1083.0,0.62,0.71,18.0,WIN,closed,1
2021-11-15,LCID211119C00055000,LCID,False,bull,C,55.0,2021-11-19,False,1,2021-11-15 15:58:17,2021-11-16 13:03:34,1265.3,0.97,2.98,201.0,WIN,closed,1
2021-11-16,PROG211119C00004000,PROG,False,bull,C,4.0,2021-11-19,False,1,2021-11-16 09:36:09,2021-11-16 09:44:16,8.1,0.55,0.55,0.0,LOSS,closed,1
2021-11-16,PROG211119C00004500,PROG,False,bull,C,4.5,2021-11-19,False,2,2021-11-16 09:40:41,2021-11-16 09:43:35,2.9,0.52,0.47,-10.0,LOSS,closed,1
2021-11-16,HD211119C00385000,HD,False,bull,C,385.0,2021-11-19,False,1,2021-11-16 09:45:26,2021-11-16 09:50:25,5.0,4.35,5.7,135.0,WIN,closed,1
2021-11-16,PTON211126C00052000,PTON,False,bull,C,52.0,2021-11-26,False,1,2021-11-16 09:53:28,2021-11-16 10:12:22,18.9,1.57,1.17,-40.0,LOSS,closed,1
2021-11-16,ATVI211119P00066000,ATVI,False,bear,P,66.0,2021-11-19,False,2,2021-11-16 11:11:38,2021-11-16 11:12:41,1.1,0.71,0.53,-36.0,LOSS,closed,1
2021-11-16,AMD211119C00155000,AMD,False,bull,C,155.0,2021-11-19,True,1,2021-11-16 14:37:26,2021-11-19 09:56:42,4039.3,1.76,1.9,14.0,WIN,closed,1
2021-11-17,LCID211119C00060000,LCID,False,bull,C,60.0,2021-11-19,False,1,2021-11-17 09:42:26,2021-11-17 10:19:13,36.8,1.46,1.84,38.0,WIN,closed,1
2021-11-17,AFRM211119C00170000,AFRM,False,bull,C,170.0,2021-11-19,False,1,2021-11-17 09:43:01,2021-11-17 12:54:51,191.8,1.15,0.2,-95.0,LOSS,closed,1
2021-11-17,AAPL211119C00155000,AAPL,False,bull,C,155.0,2021-11-19,False,4,2021-11-17 10:59:12,2021-11-17 11:09:39,10.4,0.25,0.52,108.0,WIN,closed,1
2021-11-17,LCID211126P00045000,LCID,False,bear,P,45.0,2021-11-26,False,1,2021-11-17 11:52:30,2021-11-18 10:03:51,1331.3,1.64,2.58,94.0,WIN,closed,1
2021-11-17,LCID211119C00055000,LCID,False,bull,C,55.0,2021-11-19,True,1,2021-11-17 13:52:10,2021-11-19 13:16:23,2844.2,1.64,0.12,-152.0,LOSS,closed,1
2021-11-17,CSCO211119C00058000,CSCO,False,bull,C,58.0,2021-11-19,False,1,2021-11-17 13:56:26,2021-11-17 13:56:26,0.0,0.93,0.93,0.0,LOSS,unclosed,1
2021-11-18,NVDA211119C00340000,NVDA,False,bull,C,340.0,2021-11-19,True,1,2021-11-18 09:35:20,2021-11-19 13:18:07,1662.8,2.11,0.07,-204.0,LOSS,closed,1
2021-11-18,AMD211119C00160000,AMD,False,bull,C,160.0,2021-11-19,False,1,2021-11-18 09:41:57,2021-11-18 09:41:57,0.0,1.8,1.8,0.0,LOSS,unclosed,1
2021-11-18,NVDA211126C00365000,NVDA,False,bull,C,365.0,2021-11-26,False,1,2021-11-18 09:54:40,2021-11-22 12:05:31,5890.9,2.35,0.43,-192.0,LOSS,closed,1
2021-11-19,RBLX211119C00140000,RBLX,False,bull,C,140.0,2021-11-19,True,1,2021-11-19 09:47:36,2021-11-19 11:00:45,73.2,0.75,0.8,5.0,WIN,closed,1
2021-11-19,SHOP211119C01800000,SHOP,False,bull,C,1800.0,2021-11-19,True,8,2021-11-19 11:06:32,2021-11-19 11:23:32,17.0,2.35,2.5,120.0,WIN,closed,1
2021-11-19,SHOP211119C01800000,SHOP,False,bull,C,1800.0,2021-11-19,True,2,2021-11-19 11:06:32,2021-11-19 11:41:26,34.9,2.35,2.5,30.0,WIN,closed,1
2021-11-19,AAPL211126C00165000,AAPL,False,bull,C,165.0,2021-11-26,False,1,2021-11-19 12:49:43,2021-11-22 09:57:17,4147.6,0.78,1.85,107.0,WIN,closed,1
2021-11-19,ABNB211126C00210000,ABNB,False,bull,C,210.0,2021-11-26,False,1,2021-11-19 14:17:58,2021-11-22 09:31:40,4033.7,1.02,0.35,-67.0,LOSS,closed,1
2021-11-19,TSLA211126C01290000,TSLA,False,bull,C,1290.0,2021-11-26,False,1,2021-11-19 15:39:01,2021-11-22 09:38:49,3959.8,4.0,8.95,495.0,WIN,closed,1
2021-11-22,SPY211122C00474000,SPY,True,bull,C,474.0,2021-11-22,True,5,2021-11-22 09:37:11,2021-11-22 09:55:39,18.5,0.1,0.2,50.0,WIN,closed,1
2021-11-22,AMD211126C00160000,AMD,False,bull,C,160.0,2021-11-26,True,1,2021-11-22 09:48:11,2021-11-26 11:34:05,5865.9,2.94,0.02,-292.0,LOSS,closed,1
2021-11-22,SPY211122C00475000,SPY,True,bull,C,475.0,2021-11-22,True,10,2021-11-22 10:02:33,2021-11-22 11:47:32,105.0,0.13,0.02,-110.0,LOSS,closed,1
2021-11-22,AAPL211126C00167500,AAPL,False,bull,C,167.5,2021-11-26,False,1,2021-11-22 10:03:51,2021-11-22 10:36:18,32.5,1.25,0.86,-39.0,LOSS,closed,1
2021-11-22,AMD211126C00165000,AMD,False,bull,C,165.0,2021-11-26,False,5,2021-11-22 10:10:42,2021-11-22 11:30:46,80.1,1.57,0.9,-335.0,LOSS,closed,2
2021-11-22,LCID211126P00051000,LCID,False,bear,P,51.0,2021-11-26,False,1,2021-11-22 10:40:05,2021-11-22 10:53:55,13.8,1.63,1.67,4.0,WIN,closed,1
2021-11-22,TWTR220121C00050000,TWTR,False,bull,C,50.0,2022-01-21,False,1,2021-11-22 15:31:32,2021-11-29 09:31:21,9719.8,2.11,4.39,228.0,WIN,closed,1
2021-11-22,IWM211217C00240000,IWM,False,bull,C,240.0,2021-12-17,False,3,2021-11-22 15:43:07,2021-12-10 10:26:50,25603.7,2.14,0.05,-627.0,LOSS,closed,2
2021-11-22,AAPL211126P00155000,AAPL,False,bear,P,155.0,2021-11-26,False,4,2021-11-22 15:57:55,2021-11-23 12:17:02,1219.1,0.258,0.3,17.0,WIN,closed,1
2021-11-23,MSFT220218C00400000,MSFT,False,bull,C,400.0,2022-02-18,False,4,2021-11-23 09:59:51,2021-12-08 12:46:38,21766.8,1.753,0.74,-405.0,LOSS,closed,2
2021-11-23,AMD211126C00150000,AMD,False,bull,C,150.0,2021-11-26,False,1,2021-11-23 11:28:03,2021-11-24 10:06:48,1358.8,1.78,3.65,187.0,WIN,closed,1
2021-11-24,RBLX211217C00130000,RBLX,False,bull,C,130.0,2021-12-17,False,1,2021-11-24 10:11:46,2021-12-14 09:35:51,28764.1,9.0,0.18,-882.0,LOSS,closed,1
2021-11-24,NVDA211126C00335000,NVDA,False,bull,C,335.0,2021-11-26,False,1,2021-11-24 13:44:46,2021-11-24 13:44:46,0.0,0.89,0.89,0.0,LOSS,unclosed,1
2021-11-29,TWTR211203C00053000,TWTR,False,bull,C,53.0,2021-12-03,False,2,2021-11-29 09:36:38,2021-11-30 09:49:30,1452.9,0.6,0.05,-110.0,LOSS,closed,1
2021-11-29,AAPL211203C00162500,AAPL,False,bull,C,162.5,2021-12-03,False,1,2021-11-29 12:15:45,2021-11-30 12:44:02,1468.3,1.01,2.9,189.0,WIN,closed,1
2021-11-30,LCID211203C00060000,LCID,False,bull,C,60.0,2021-12-03,True,1,2021-11-30 09:54:59,2021-12-03 11:39:09,4424.2,1.42,0.01,-141.0,LOSS,closed,1
2021-12-01,MRNA211203P00300000,MRNA,False,bear,P,300.0,2021-12-03,False,1,2021-12-01 09:35:05,2021-12-01 12:44:18,189.2,2.5,3.65,115.0,WIN,closed,1
2021-12-01,RBLX211203P00110000,RBLX,False,bear,P,110.0,2021-12-03,False,1,2021-12-01 15:20:50,2021-12-01 15:24:09,3.3,3.11,2.81,-30.0,LOSS,closed,1
2021-12-02,TSLA211203C01200000,TSLA,False,bull,C,1200.0,2021-12-03,False,1,2021-12-02 09:32:32,2021-12-02 10:20:50,48.3,1.09,0.47,-62.0,LOSS,closed,1
2021-12-02,SPY211203C00465000,SPY,True,bull,C,465.0,2021-12-03,False,4,2021-12-02 09:43:45,2021-12-02 15:36:34,352.8,0.23,0.3,28.0,WIN,closed,1
2021-12-02,TSM211203C00124000,TSM,False,bull,C,124.0,2021-12-03,True,1,2021-12-02 09:45:19,2021-12-03 10:21:47,1476.5,1.15,0.01,-114.0,LOSS,closed,1
2021-12-02,BABA211203P00115000,BABA,False,bear,P,115.0,2021-12-03,True,1,2021-12-02 13:23:08,2021-12-03 10:07:35,1244.5,1.17,5.25,408.0,WIN,closed,1
2021-12-02,BIDU211203P00143000,BIDU,False,bear,P,143.0,2021-12-03,True,1,2021-12-02 15:01:11,2021-12-03 10:07:30,1146.3,0.8,8.3,750.0,WIN,closed,1
2021-12-03,SPY211203P00449000,SPY,True,bear,P,449.0,2021-12-03,True,1,2021-12-03 11:11:55,2021-12-03 12:02:21,50.4,0.97,1.48,51.0,WIN,closed,1
2021-12-03,RBLX211210P00100000,RBLX,False,bear,P,100.0,2021-12-10,False,1,2021-12-03 11:18:02,2021-12-06 09:44:33,4226.5,2.07,2.21,14.0,WIN,closed,1
2021-12-03,TSLA211203C01050000,TSLA,False,bull,C,1050.0,2021-12-03,True,1,2021-12-03 13:02:20,2021-12-03 14:47:48,105.5,1.2,0.19,-101.0,LOSS,closed,1
2021-12-06,COST211217C00600000,COST,False,bull,C,600.0,2021-12-17,False,1,2021-12-06 10:04:23,2021-12-07 11:26:33,1522.2,0.8,0.6,-20.0,LOSS,closed,1
2021-12-06,QQQ211206C00385000,QQQ,False,bull,C,385.0,2021-12-06,True,1,2021-12-06 10:59:06,2021-12-06 11:12:47,13.7,0.95,0.64,-31.0,LOSS,closed,1
2021-12-06,AMD211210C00145000,AMD,False,bull,C,145.0,2021-12-10,False,1,2021-12-06 11:34:31,2021-12-06 11:34:54,0.4,0.99,0.99,0.0,LOSS,closed,1
2021-12-06,COUP211217C00225000,COUP,False,bull,C,225.0,2021-12-17,False,1,2021-12-06 13:42:20,2021-12-06 13:42:20,0.0,1.65,1.65,0.0,LOSS,unclosed,1
2021-12-06,AAPL211210C00170000,AAPL,False,bull,C,170.0,2021-12-10,False,1,2021-12-06 13:43:54,2021-12-07 09:48:38,1204.7,0.88,2.36,148.0,WIN,closed,1
2021-12-07,TSM211210C00123000,TSM,False,bull,C,123.0,2021-12-10,False,1,2021-12-07 09:48:19,2021-12-08 09:33:42,1425.4,1.09,0.47,-62.0,LOSS,closed,1
2021-12-07,FB211210C00325000,FB,False,bull,C,325.0,2021-12-10,False,1,2021-12-07 10:00:08,2021-12-07 10:11:42,11.6,3.65,4.22,57.0,WIN,closed,1
2021-12-07,COST211217C00600000,COST,False,bull,C,600.0,2021-12-17,False,2,2021-12-07 12:52:40,2021-12-13 15:04:54,8772.2,0.585,0.2,-77.0,LOSS,closed,2
2021-12-08,LOVE211217C00085000,LOVE,False,bull,C,85.0,2021-12-17,False,1,2021-12-08 09:41:58,2021-12-08 12:58:03,196.1,0.6,1.19,59.0,WIN,closed,1
2021-12-08,ROKU211210C00255000,ROKU,False,bull,C,255.0,2021-12-10,False,1,2021-12-08 09:44:02,2021-12-08 10:04:27,20.4,2.83,1.58,-125.0,LOSS,closed,1
2021-12-08,FB211210C00330000,FB,False,bull,C,330.0,2021-12-10,False,1,2021-12-08 10:07:53,2021-12-08 10:21:15,13.4,2.86,3.85,99.0,WIN,closed,1
2021-12-08,AAPL211210P00170000,AAPL,False,bear,P,170.0,2021-12-10,False,2,2021-12-08 10:25:12,2021-12-08 10:37:56,12.7,0.75,0.84,18.0,WIN,closed,1
2021-12-08,SPY211208C00467000,SPY,True,bull,C,467.0,2021-12-08,True,1,2021-12-08 11:03:00,2021-12-08 11:32:20,29.3,1.05,1.26,21.0,WIN,closed,1
2021-12-08,AAPL211210P00170000,AAPL,False,bear,P,170.0,2021-12-10,False,2,2021-12-08 11:18:47,2021-12-08 13:33:03,134.3,0.76,0.66,-20.0,LOSS,closed,1
2021-12-08,SNAP211217C00057000,SNAP,False,bull,C,57.0,2021-12-17,False,1,2021-12-08 11:27:33,2021-12-08 14:26:03,178.5,1.05,0.84,-21.0,LOSS,closed,1
